City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Aberdeen,GB,2020-07-07 01:37:48,57.14,-2.1,51.01,76,49,11.41
70,Cayenne,GF,2020-07-07 01:37:48,4.93,-52.33,77.0,100,20,2.24
71,Husavik,IS,2020-07-07 01:37:48,66.04,-17.34,37.4,93,0,2.33
72,Vila Franca Do Campo,PT,2020-07-07 01:37:48,37.72,-25.43,66.2,93,40,12.75
73,Tuktoyaktuk,CA,2020-07-07 01:37:49,69.45,-133.04,42.8,87,75,9.17
74,Clyde River,CA,2020-07-07 01:37:49,70.47,-68.59,41.0,86,90,8.05
75,Ternate,ID,2020-07-07 01:37:49,0.8,127.4,84.22,69,43,1.88
76,Iqaluit,CA,2020-07-07 01:37:49,63.75,-68.51,48.2,66,75,4.7
77,Pemangkat,ID,2020-07-07 01:36:07,1.17,108.97,77.49,89,100,12.21
78,Imeni Zhelyabova,RU,2020-07-07 01:37:50,58.95,36.6,63.45,97,95,3.18
79,Hammerfest,NO,2020-07-07 01:36:51,70.66,23.68,44.6,100,100,24.16
80,Nalut,LY,2020-07-07 01:37:50,30.33,10.85,70.93,43,0,8.46
81,Albany,US,2020-07-07 01:35:15,42.6,-73.97,78.01,49,0,5.14
82,Puerto Ayora,EC,2020-07-07 01:37:50,-0.74,-90.35,69.01,92,100,1.99
83,Korla,CN,2020-07-07 01:37:51,41.76,86.15,80.01,65,98,2.55
84,Araouane,ML,2020-07-07 01:37:51,18.9,-3.53,93.11,23,0,10.02
85,Manjakandriana,MG,2020-07-07 01:37:51,-18.92,47.8,55.4,82,75,9.17
86,Kwinana,AU,2020-07-07 01:37:52,-32.25,115.77,62.01,87,75,5.82
87,Constitucion,CL,2020-07-07 01:37:52,-35.33,-72.42,49.64,71,100,2.64
88,Hofn,IS,2020-07-07 01:35:25,64.25,-15.21,50.18,76,0,6.8
89,Hamilton,US,2020-07-07 01:33:49,39.18,-84.53,73.99,94,75,3.36
90,Yenagoa,NG,2020-07-07 01:37:52,4.92,6.26,74.61,93,100,5.99
91,Saint-Philippe,RE,2020-07-07 01:37:52,-21.36,55.77,68.0,94,90,5.82
92,Ilulissat,GL,2020-07-07 01:37:53,69.22,-51.1,51.8,53,100,17.22
93,Nizwa,OM,2020-07-07 01:37:53,22.93,57.53,87.91,43,36,0.31
94,Lasa,IT,2020-07-07 01:37:53,46.62,10.7,53.6,66,40,6.93
95,Unity,CA,2020-07-07 01:37:53,52.45,-109.17,73.99,52,33,3.2
96,Narsaq,GL,2020-07-07 01:37:53,60.92,-46.05,46.4,70,92,6.93
97,Yellowknife,CA,2020-07-07 01:34:42,62.46,-114.35,66.2,39,40,19.46
98,Ipixuna,BR,2020-07-07 01:37:54,-1.76,-48.8,78.8,88,40,6.93
99,Ligayan,PH,2020-07-07 01:37:54,4.65,119.47,83.23,71,93,9.13
100,Faya,SA,2020-07-07 01:37:54,18.39,42.45,71.6,60,62,7.25
101,Longyearbyen,SJ,2020-07-07 01:37:54,78.22,15.64,50.0,71,75,2.24
